time,velX,velY,velZ,posX,posY,posZ,yaw_deg,pitch_deg,roll_deg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0.0040149812734082396,0.0,0.0,0.0,0.0,0.0,0.0,0.6168953945109812,0.2217149666394792,-1.0953753341243355
0.008029962546816479,0.0,0.0,0.0,0.0,0.0,0.0,1.2555275623729156,0.4736059490335759,-2.264659147316832
0.012044943820224719,0.0,0.0,0.0,0.0,0.0,0.0,1.897573919241753,0.7616167448685218,-3.5401784969316132
0.016059925093632958,0.0,0.0,0.0,0.0,0.0,0.0,2.5243567439424512,1.0974651003832898,-4.930746822138032
0.0200749063670412,0.0,0.0,0.0,0.0,0.0,0.0,3.1235911550489943,1.4993190657517979,-6.417419595205911
0.024089887640449437,0.0,0.0,0.0,0.0,0.0,0.0,3.6965174996996724,1.989080017448311,-7.960657883328701
0.028104868913857675,0.0,0.0,0.0,0.0,0.0,0.0,4.263530491272827,2.5868326748644526,-9.516685531252287
0.032119850187265916,0.0,0.0,0.0,0.0,0.0,0.0,4.865859016449349,3.30463296193017,-11.054578064326213
0.03613483146067416,0.0,0.0,0.0,0.0,0.0,0.0,5.561366203583199,4.142201577094941,-12.564303507888523
0.0401498127340824,0.0,0.0,0.0,0.0,0.0,0.0,6.414012436325217,5.086086519505868,-14.051750435401054
0.04416479400749063,0.0,0.0,0.0,0.0,0.0,0.0,7.47809196112219,6.11223173436591,-15.526166733045303
0.048179775280898875,0.0,0.0,0.0,0.0,0.0,0.0,8.779447650295808,7.190729683977144,-16.98943362515179
0.052194756554307116,0.0,0.0,0.0,0.0,0.0,0.0,10.296529447206224,8.2914234226771,-18.430780727738977
0.05620973782771535,0.0,0.0,0.0,0.0,0.0,0.0,11.944805887070006,9.389679684585495,-19.822775582011
0.06022471910112359,0.0,0.0,0.0,0.0,0.0,0.0,13.568904712440878,10.471844140122757,-21.115593693341932
0.06423970037453183,0.0,0.0,0.0,0.0,0.0,0.0,14.947196612657512,11.538244841997283,-22.234711197504552
0.06825468164794007,0.0,0.0,0.0,0.0,0.0,0.0,15.811848226152668,12.599339684602066,-23.089188768526757
0.07226966292134832,0.0,0.0,0.0,0.0,0.0,0.0,15.883636452789473,13.661484917611467,-23.59065389611949
0.07628464419475656,0.0,0.0,0.0,0.0,0.0,0.0,14.917436521815622,14.704241961526288,-23.67868260097978
0.0802996254681648,0.0,0.0,0.0,0.0,0.0,0.0,12.752624715070002,15.658988491378013,-23.348949080176787
0.08431460674157303,0.0,0.0,0.0,0.0,0.0,0.0,9.360074346474118,16.404748036612887,-22.675918864774037
0.08832958801498127,0.0,0.0,0.0,0.0,0.0,0.0,4.871493947861409,16.793567621835532,-21.813636691074976
0.09234456928838951,0.0,0.0,0.0,0.0,0.0,0.0,-0.4268465901003885,16.699576363178412,-20.960114127662223
0.09635955056179775,0.0,0.0,0.0,0.0,0.0,0.0,-6.143343481911275,16.065063693691723,-20.28929018593723
0.10037453183520599,0.0,0.0,0.0,0.0,0.0,0.0,-11.855726230418872,14.915562633808861,-19.879913627962612
0.10438951310861423,0.0,0.0,0.0,0.0,0.0,0.0,-17.177407897861652,13.33895473735239,-19.678943859418876
0.10840449438202247,0.0,0.0,0.0,0.0,0.0,0.0,-21.79258792396722,11.448642099677107,-19.51546984524173
0.1124194756554307,0.0,0.0,0.0,0.0,0.0,0.0,-25.461602275016574,9.355782077372137,-19.152024240488217
0.11643445692883894,0.0,0.0,0.0,0.0,0.0,0.0,-28.012285967844132,7.163153815918747,-18.34909436322826
0.12044943820224718,0.0,0.0,0.0,0.0,0.0,0.0,-29.332710563461685,4.977135472972453,-16.92215733806796
0.12446441947565542,0.0,0.0,0.0,0.0,0.0,0.0,-29.373541715554378,2.922453742899028,-14.77621066432671
0.12847940074906367,0.0,0.0,0.0,0.0,0.0,0.0,-28.15919830200662,1.1421835003991603,-11.909382085454496
0.1324943820224719,0.0,0.0,0.0,0.0,0.0,0.0,-25.79832215662438,-0.22330345506142937,-8.389002755706777
0.13650936329588015,0.0,0.0,0.0,0.0,0.0,0.0,-22.481748348268393,-1.0669693805933376,-4.318528027373269
0.1405243445692884,0.0,0.0,0.0,0.0,0.0,0.0,-18.463696654394155,-1.3369584048574237,0.18081068705984243
0.14453932584269663,0.0,0.0,0.0,0.0,0.0,0.0,-14.031366141418545,-1.042465598822419,4.963511945563223
0.14855430711610487,0.0,0.0,0.0,0.0,0.0,0.0,-9.470176405978139,-0.2504219069955804,9.841002463167166
0.1525692883895131,0.0,0.0,0.0,0.0,0.0,0.0,-5.0294334131972285,0.9194308722170003,14.57367356486294
0.15658426966292135,0.0,0.0,0.0,0.0,0.0,0.0,-0.8937518245779013,2.3019716008507642,18.88931716967149
0.1605992509363296,0.0,0.0,0.0,0.0,0.0,0.0,2.8314904868625588,3.701769126464168,22.528237667093705
0.1646142322097378,0.0,0.0,0.0,0.0,0.0,0.0,6.1139763858819665,4.916333844251578,25.30119915691727
0.16862921348314605,0.0,0.0,0.0,0.0,0.0,0.0,8.97007109352282,5.761615275945723,27.139102472881284
0.1726441947565543,0.0,0.0,0.0,0.0,0.0,0.0,11.435126249399088,6.0936937795625274,28.117808323379293
0.17665917602996253,0.0,0.0,0.0,0.0,0.0,0.0,13.543640191096662,5.825203744641329,28.451633276919164
0.18067415730337077,0.0,0.0,0.0,0.0,0.0,0.0,15.327076422856091,4.936611267155837,28.4559175811743
0.18468913857677902,0.0,0.0,0.0,0.0,0.0,0.0,16.82534238429053,3.4801483147188117,28.484998573808625
0.18870411985018726,0.0,0.0,0.0,0.0,0.0,0.0,18.098928730519045,1.5732582437717801,28.859380775154218
0.1927191011235955,0.0,0.0,0.0,0.0,0.0,0.0,19.228704304243124,-0.6190575611789495,29.800144220878792
0.19673408239700374,0.0,0.0,0.0,0.0,0.0,0.0,20.29965297002833,-2.910398743262697,31.386011997447866
0.20074906367041198,0.0,0.0,0.0,0.0,0.0,0.0,21.376468107552533,-5.123455944501917,33.541063273005996
0.20476404494382022,0.0,0.0,0.0,0.0,0.0,0.0,22.484822802929084,-7.119395478023401,36.05405529912015
0.20877902621722846,0.0,0.0,0.0,0.0,0.0,0.0,23.609171210795,-8.81877628528552,38.62515392544427
0.2127940074906367,0.0,0.0,0.0,0.0,0.0,0.0,24.707946883455712,-10.206872128808252,40.9296366509241
0.21680898876404495,0.0,0.0,0.0,0.0,0.0,0.0,25.736120751456937,-11.32154892567582,42.68224354589465
0.2208239700374532,0.0,0.0,0.0,0.0,0.0,0.0,26.66162377438549,-12.229970013163054,43.68574919229353
0.2248389513108614,0.0,0.0,0.0,0.0,0.0,0.0,27.468596394132536,-13.005072851534177,43.85406088217421
0.22885393258426964,0.0,0.0,0.0,0.0,0.0,0.0,28.14993321352284,-13.710092177898545,43.20960069914143
0.23286891385767788,0.0,0.0,0.0,0.0,0.0,0.0,28.69660713438006,-14.392556542783424,41.861603961044594
0.23688389513108613,0.0,0.0,0.0,0.0,0.0,0.0,29.09071901292853,-15.084368816854541,39.97393462588817
0.24089887640449437,0.0,0.0,0.0,0.0,0.0,0.0,29.305709947035297,-15.803957352300749,37.73060443499564
0.2449138576779026,0.0,0.0,0.0,0.0,0.0,0.0,29.313052756620852,-16.55827325362031,35.30616639612697
0.24892883895131085,0.0,0.0,0.0,0.0,0.0,0.0,29.09176917912694,-17.344641700953968,32.84503272656607
0.2529438202247191,0.0,0.0,0.0,0.0,0.0,0.0,28.636256901884355,-18.153277753854585,30.450162561460417
0.25695880149812733,0.0,0.0,0.0,0.0,0.0,0.0,27.95926329098306,-18.96987834781255,28.1811635301287
0.26097378277153555,0.0,0.0,0.0,0.0,0.0,0.0,27.08970046121053,-19.776684872762484,26.062195614319588
0.2649887640449438,0.0,0.0,0.0,0.0,0.0,0.0,26.067424773404362,-20.55225097878771,24.096292428961096
0.269003745318352,0.0,0.0,0.0,0.0,0.0,0.0,24.937367583222965,-21.272453665414957,22.27787387563087
0.2730187265917603,0.0,0.0,0.0,0.0,0.0,0.0,23.744096519211627,-21.91442177068482,20.596372410417494
0.2770337078651685,0.0,0.0,0.0,0.0,0.0,0.0,22.526891012108873,-22.462229744573577,19.03006008978277
0.2810486891385768,0.0,0.0,0.0,0.0,0.0,0.0,21.31542339075325,-22.911846208348425,17.533780961811956
0.285063670411985,0.0,0.0,0.0,0.0,0.0,0.0,20.12677386181856,-23.272899635542103,16.02673337022899
0.28907865168539326,0.0,0.0,0.0,0.0,0.0,0.0,18.9653947599973,-23.56486874466194,14.389422249702793
