time,Ax,Ay,Az,Gx,Gy,Gz
0.0,-1.1519606,0.0191296,0.3813964,-4.27,0.98,2.38
0.0040149812734082396,-1.1495694,0.0191296,0.37900520000000004,-5.67,1.4,3.36
0.008029962546816479,-1.1477760000000001,0.0185318,0.37482060000000006,-1.54,2.03,2.94
0.012044943820224719,-1.1477760000000001,0.019727400000000003,0.3718316,-2.73,1.54,2.59
0.016059925093632958,-1.1477760000000001,0.0185318,0.37003820000000004,-7.49,1.26,2.94
0.0200749063670412,-1.1489716,0.0167384,0.3688426,-8.89,1.33,3.43
0.024089887640449437,-1.1525584000000002,0.0167384,0.3652558,-10.78,2.03,3.22
0.028104868913857675,-1.1543518000000001,0.0173362,0.3622668,-9.24,3.08,2.17
0.032119850187265916,-1.1585364,0.014945000000000002,0.3574844,-5.04,3.57,1.61
0.03613483146067416,-1.1639166,0.0125538,0.35210420000000003,2.1,4.9,1.61
0.0401498127340824,-1.1615254000000002,0.0137494,0.34672400000000003,-5.53,4.97,2.59
0.04416479400749063,-1.1603298000000002,0.014945000000000002,0.3425394,-10.01,5.74,3.08
0.048179775280898875,-1.1603298000000002,0.017934000000000002,0.3401482,-10.36,5.67,3.22
0.052194756554307116,-1.1609276000000002,0.019727400000000003,0.3383548,-3.92,5.53,3.92
0.05620973782771535,-1.1609276000000002,0.020923000000000004,0.33476800000000007,4.83,6.37,4.76
0.06022471910112359,-1.1633188,0.022118600000000002,0.3305834,-6.79,6.72,5.11
0.06423970037453183,-1.1627210000000001,0.023912,0.32938780000000006,-12.67,6.23,5.53
0.06825468164794007,-1.171688,0.024509800000000005,0.32938780000000006,2.45,5.74,5.39
0.07226966292134832,-1.1836440000000001,0.0257054,0.32998560000000005,0.21,4.9,3.01
0.07628464419475656,-1.1890242000000002,0.026303200000000002,0.3305834,-20.09,2.87,-1.19
0.0802996254681648,-1.210545,0.0310856,0.33237680000000003,8.12,2.24,-8.33
0.08431460674157303,-1.2320658,0.041248200000000006,0.3329746,8.61,-0.91,-16.59
0.08832958801498127,-1.2398372,0.0460306,0.3281922,10.85,-0.49,-22.68
0.09234456928838951,-1.2272834000000001,0.035868000000000004,0.3269966,7.7,-1.61,-26.110001
0.09635955056179775,-1.2153274,0.023314200000000004,0.3371592,-4.34,-5.6,-25.41
0.10037453183520599,-1.2099472000000002,0.017934000000000002,0.34373500000000007,-12.95,-9.45,-23.450001
0.10438951310861423,-1.2009802,0.0095648,0.352702,-1.96,-12.32,-19.809999
0.10840449438202247,-1.192611,0.0017934000000000001,0.35509320000000005,2.8,-13.79,-16.870001
0.1124194756554307,-1.1830462000000002,-0.0047824,0.35031080000000003,-9.66,-13.93,-14.7
0.11643445692883894,-1.1704924,-0.011956,0.34074600000000005,4.48,-10.43,-10.15
0.12044943820224718,-1.156743,-0.017934000000000002,0.3287900000000001,2.45,-8.68,-4.06
0.12446441947565542,-1.1513628,-0.020923000000000004,0.3222142,21.280001,-5.53,0.98
0.12847940074906367,-1.1400046000000001,-0.0274988,0.31025820000000004,40.880001,-1.96,7.7
0.1324943820224719,-1.1292442,-0.0322812,0.30129120000000004,11.83,-1.19,12.74
0.13650936329588015,-1.1202772,-0.0370636,0.29770440000000004,10.5,1.61,15.05
0.1405243445692884,-1.1166904,-0.0406504,0.2965088,1.68,3.71,17.57
0.14453932584269663,-1.1172882000000002,-0.0406504,0.2971066,16.030001,5.25,19.32
0.14855430711610487,-1.1238640000000002,-0.0364658,0.3000956,26.67,4.62,20.02
0.1525692883895131,-1.1304398,-0.028096600000000003,0.3072692,9.24,1.96,19.530001
0.15658426966292135,-1.1429936,-0.020923000000000004,0.313845,38.57,3.57,18.549999
0.1605992509363296,-1.1531562,-0.011956,0.32460540000000004,30.030001,2.38,16.940001
0.1646142322097378,-1.1603298000000002,-0.0035868000000000002,0.3383548,3.99,0.0,15.19
0.16862921348314605,-1.1627210000000001,-0.0011956,0.34433280000000005,15.89,0.98,13.79
0.1726441947565543,-1.1639166,0.002989,0.3574844,-0.14,-0.98,12.39
0.17665917602996253,-1.1645144,0.0071736000000000005,0.37302720000000006,-3.5,-2.52,9.17
0.18067415730337077,-1.1669056,0.0095648,0.385581,-0.84,-3.85,6.3
