time,Ax_filt,Ay_filt,Az_filt
0.0,-1.1512607232139767,0.019324018947755293,0.38208307679398856
0.0040149812734082396,-1.150175195761421,0.019232482163858904,0.37936439109874326
0.008029962546816479,-1.1495603313097524,0.018981378563093697,0.3765312941754032
0.012044943820224719,-1.1495884554538565,0.018554239976885146,0.37361731149623584
0.016059925093632958,-1.1503169925252916,0.0179597716924353,0.37060153785740996
0.0200749063670412,-1.1516597816435246,0.017238652468218183,0.36742338702752814
0.024089887640449437,-1.1533930673913975,0.01646409997939869,0.3640153654559856
0.028104868913857675,-1.1552003108191111,0.015736139044669847,0.3603410085113125
0.032119850187265916,-1.156751484870754,0.015170525421707265,0.3564217195972018
0.03613483146067416,-1.1578024187652394,0.014881106421145887,0.35234184761228476
0.0401498127340824,-1.158288832046666,0.014957846443637006,0.3482313940061261
0.04416479400749063,-1.1583835953383348,0.015451164289404594,0.3442359141505164
0.048179775280898875,-1.1584952032421532,0.0163733624135192,0.34048903974255956
0.052194756554307116,-1.1592065899209119,0.017715827724746048,0.3370997985842168
0.05620973782771535,-1.1611670878540858,0.01946780962190287,0.33415536945845564
0.06022471910112359,-1.1649516784262322,0.02161988573184085,0.33172962203029177
0.06423970037453183,-1.1709044047118444,0.02414336598429345,0.3298887596079654
0.06825468164794007,-1.1789952273953808,0.026949129230509163,0.3286947185746377
0.07226966292134832,-1.1887329698916635,0.029839815505013526,0.32821089622417854
0.07628464419475656,-1.199175149865202,0.03247748210555741,0.328507638374495
0.0802996254681648,-1.2090566185068616,0.03439428656464632,0.3296557286516912
0.08431460674157303,-1.217030055628088,0.035068049066196275,0.3316939545767254
0.08832958801498127,-1.2219640421412956,0.034055385494406516,0.33456403496528325
0.09234456928838951,-1.223190556304496,0.031129637057854983,0.338026395250218
0.09635955056179775,-1.2205964894563048,0.026350665633518434,0.34160044996051253
0.10037453183520599,-1.2145412658768535,0.020032385633022533,0.3445858993420905
0.10438951310861423,-1.2056798148684513,0.012639542644076391,0.34619031266464867
0.10840449438202247,-1.1947915604271089,0.004674300509215269,0.34572992773188843
0.1124194756554307,-1.1826700601480598,-0.003405114017914678,0.34282897507227916
0.11643445692883894,-1.1700758062912537,-0.011220309109105403,0.33754212314898596
0.12044943820224718,-1.1577290750145355,-0.018467396387863336,0.33036081188280253
0.12446441947565542,-1.1463178455853298,-0.02488439031644547,0.32211442918954597
0.12847940074906367,-1.1365013725520616,-0.030212519350381023,0.3138106115511755
0.1324943820224719,-1.1288897915369118,-0.03417647095868586,0.3064623921407281
0.13650936329588015,-1.1239836285085931,-0.03650272815778476,0.3009389594300591
0.1405243445692884,-1.122079522637738,-0.03697731455380445,0.29786629729749137
0.14453932584269663,-1.1231773530348912,-0.035522830632325544,0.29758937383224326
0.14855430711610487,-1.1269337758073559,-0.03226041669098223,0.30018785586303925
0.1525692883895131,-1.1326921876155507,-0.02752286464188968,0.305525143349131
0.15658426966292135,-1.1395919537690682,-0.02180333555243958,0.3133102909845617
0.1605992509363296,-1.1467328528192167,-0.0156515760194333,0.32315696414505857
0.1646142322097378,-1.153349627065195,-0.009550752265918349,0.3346281611293522
0.16862921348314605,-1.1589429995367346,-0.003815049200729701,0.347258880779777
0.1726441947565543,-1.1633273569674665,0.0014593912477799593,0.3605551153698053
0.17665917602996253,-1.166588974878565,0.006378012877853133,0.37398197322910676
0.18067415730337077,-1.1689822096152138,0.011176663879044604,0.3869651438182988
0.18468913857677902,-1.1708056700134761,0.016119456070123002,0.3989222487629158
0.18870411985018726,-1.1722943670995527,0.021393156529035614,0.4093223629571988
0.1927191011235955,-1.1735484052566758,0.027025321757045518,0.4177600688771772
0.19673408239700374,-1.1745051801908473,0.03284699392834016,0.42402605115490444
0.20074906367041198,-1.1749560873692226,0.038508535847539195,0.4281537231304665
0.20476404494382022,-1.1746064671625773,0.04354564535558159,0.430419693176884
0.20877902621722846,-1.1731678025405314,0.04748330236903487,0.43128445488465983
0.2127940074906367,-1.170456722327366,0.04995382241416416,0.43128510930349423
0.21680898876404495,-1.1664724379104556,0.05079603712739215,0.43091616743174704
0.2208239700374532,-1.1614333927638347,0.050107510475441645,0.4305368624230999
0.2248389513108614,-1.1557636039004007,0.04823670172193671,0.4303285992473333
0.22885393258426964,-1.1500296737020201,0.045715219626766446,0.43030673771013694
0.23286891385767788,-1.1448418874238402,0.04314334345289032,0.43037286520268686
0.23688389513108613,-1.140740898127546,0.0410572669839296,0.4303835720271277
0.24089887640449437,-1.1380965292505387,0.03981534239586098,0.4302122821425461
0.2449138576779026,-1.1370469591016883,0.03953526259275666,0.4297876593453529
0.24892883895131085,-1.1374942928837652,0.04009608957633152,0.42910186524327437
0.2529438202247191,-1.1391506805790144,0.0411981957630572,0.42819211250134587
0.25695880149812733,-1.1416160839822622,0.04246030416969878,0.42710674175433067
0.26097378277153555,-1.1444644515521813,0.043525519233319716,0.42587105019323
0.2649887640449438,-1.1473117363276593,0.04414593979103399,0.42446688546593286
0.269003745318352,-1.1498479567735091,0.044223781734144596,0.4228329300944284
0.2730187265917603,-1.1518406246070945,0.043804720743942135,0.4208826365105987
0.2770337078651685,-1.153132326359228,0.04303380909448539,0.418529209348674
0.2810486891385768,-1.15364321921925,0.04208991918891448,0.4157055778847194
0.285063670411985,-1.1533722298161866,0.041117467626415063,0.4123710727110303
0.28907865168539326,-1.1523926561014677,0.040177427323901296,0.40850305790706914
0.2930936329588015,-1.1508455167219498,0.03923656887526382,0.40408024656102937
0.29710861423220974,-1.148930089380713,0.0381996544214889,0.39907138090583427
0.30112359550561796,-1.1468860292919973,0.03697076505471328,0.39344280395394543
0.3051385767790262,-1.1449660409092133,0.03551803918540834,0.38718974347586316
0.30915355805243444,-1.1434036652151187,0.033916224383380184,0.3803825162366507
0.3131685393258427,-1.1423806041088451,0.03235192062197313,0.3732072574239796
0.3171835205992509,-1.1419991572648398,0.031090243624240347,0.3659783924500226
